NHU,20/80,15/85,10/90
Día 0,1.0,1.0,1.0
Día 2,1.0723262064456767,1.042304553615146,1.0232865319700601
Día 6,0.970410905833071,1.0063979108862413,0.9975050144317793
Día 8,0.99430979,1.01093520,0.98904163


